0.0010	0.5000	-2.0000	
0.0020	0.5000	-2.0000	
0.0030	0.5000	-1.9999	
0.0040	0.5000	-1.9999	
0.0050	0.5000	-1.9998	
0.0060	0.5000	-1.9998	
0.0070	0.4999	-1.9997	
0.0080	0.4999	-1.9996	
0.0090	0.4999	-1.9995	
0.0100	0.4999	-1.9994	
0.0110	0.4999	-1.9993	
0.0120	0.4998	-1.9991	
0.0130	0.4998	-1.9990	
0.0140	0.4998	-1.9988	
0.0150	0.4998	-1.9987	
0.0160	0.4997	-1.9985	
0.0170	0.4997	-1.9983	
0.0180	0.4997	-1.9981	
0.0190	0.4996	-1.9979	
0.0200	0.4996	-1.9977	
0.0210	0.4995	-1.9975	
0.0220	0.4995	-1.9972	
0.0230	0.4995	-1.9970	
0.0240	0.4994	-1.9967	
0.0250	0.4994	-1.9964	
0.0260	0.4993	-1.9961	
0.0270	0.4992	-1.9958	
0.0280	0.4992	-1.9955	
0.0290	0.4991	-1.9952	
0.0300	0.4991	-1.9949	
0.0310	0.4990	-1.9946	
0.0320	0.4989	-1.9942	
0.0330	0.4989	-1.9938	
0.0340	0.4988	-1.9935	
0.0350	0.4987	-1.9931	
0.0360	0.4987	-1.9927	
0.0370	0.4986	-1.9923	
0.0380	0.4985	-1.9919	
0.0390	0.4984	-1.9914	
0.0400	0.4984	-1.9910	
0.0410	0.4983	-1.9905	
0.0420	0.4982	-1.9901	
0.0430	0.4981	-1.9896	
0.0440	0.4980	-1.9891	
0.0450	0.4979	-1.9886	
0.0460	0.4978	-1.9881	
0.0470	0.4977	-1.9876	
0.0480	0.4976	-1.9871	
0.0490	0.4976	-1.9865	
0.0500	0.4975	-1.9860	
0.0510	0.4973	-1.9854	
0.0520	0.4972	-1.9849	
0.0530	0.4971	-1.9843	
0.0540	0.4970	-1.9837	
0.0550	0.4969	-1.9831	
0.0560	0.4968	-1.9825	
0.0570	0.4967	-1.9818	
0.0580	0.4966	-1.9812	
0.0590	0.4965	-1.9806	
0.0600	0.4963	-1.9799	
0.0610	0.4962	-1.9792	
0.0620	0.4961	-1.9785	
0.0630	0.4960	-1.9778	
0.0640	0.4958	-1.9771	
0.0650	0.4957	-1.9764	
0.0660	0.4956	-1.9757	
0.0670	0.4954	-1.9750	
0.0680	0.4953	-1.9742	
0.0690	0.4951	-1.9735	
0.0700	0.4950	-1.9727	
0.0710	0.4949	-1.9719	
0.0720	0.4947	-1.9711	
0.0730	0.4946	-1.9703	
0.0740	0.4944	-1.9695	
0.0750	0.4943	-1.9687	
0.0760	0.4941	-1.9678	
0.0770	0.4939	-1.9670	
0.0780	0.4938	-1.9661	
